scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,28.0,54.933349609375,percentile,1092,351,325,236,0.822289156626506,0.24324324324324326,0.6503871351995235,0.3162659636054208,HSS
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,84.0,62.854225158691406,percentile,79,242,1481,202,0.28113879003558717,0.7538940809968847,0.15105162523900573,0.13277700130408593,HSS
all_radars_all_dates,all,max_hdr_size,severe_obs,0.0,28.0,18.948708572387694,percentile,1112,331,345,216,0.8373493975903614,0.2293832293832294,0.6702833031946956,0.36285772077029843,HSS
all_radars_all_dates,all,max_hdr_size,sig_severe_obs,0.0,83.0,31.526284637451173,percentile,79,262,1461,202,0.28113879003558717,0.7683284457478006,0.14548802946593,0.11849122999945015,HSS
all_radars_all_dates,all,max_hsda,severe_obs,0.0,,2.0,hsda_class,585,183,470,713,0.450693374422188,0.23828125,0.3950033760972316,0.14184418749183864,HSS
all_radars_all_dates,all,max_hsda,sig_severe_obs,0.0,,3.0,hsda_class,100,372,1302,177,0.36101083032490977,0.788135593220339,0.15408320493066255,0.1072768961111375,HSS
all_radars_all_dates,all,max_mesh_75_mh19,severe_obs,0.0,32.0,28.80758428442506,percentile,1046,317,359,282,0.7876506024096386,0.23257520176082172,0.6358662613981763,0.3228186723049741,HSS
all_radars_all_dates,all,max_mesh_75_mh19,sig_severe_obs,0.0,85.0,45.16796332144021,percentile,80,221,1502,201,0.2846975088967972,0.7342192691029901,0.1593625498007968,0.1519085087136946,HSS
