scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,29.0,54.950981636047366,percentile,1106,328,359,227,0.8297074268567142,0.22873082287308227,0.6658639373871162,0.36528192330164366,HSS
all_radars_all_dates,all,max_reflectivity_buffer,sig_severe_obs,2.0,90.0,63.396187973022464,percentile,63,139,1599,219,0.22340425531914893,0.6881188118811881,0.1496437054631829,0.1627689429373246,HSS
all_radars_all_dates,all,max_hdr_size_buffer,severe_obs,2.0,26.0,18.51849994659424,percentile,1146,346,338,186,0.8603603603603603,0.23190348525469168,0.6829558998808105,0.37590078766549356,HSS
all_radars_all_dates,all,max_hdr_size_buffer,sig_severe_obs,2.0,90.0,32.57672691345215,percentile,57,145,1589,225,0.20212765957446807,0.7178217821782178,0.13348946135831383,0.1344788214653708,HSS
all_radars_all_dates,all,max_hsda_buffer,severe_obs,2.0,,2.0,hsda_class,568,158,521,759,0.42803315749811605,0.21763085399449036,0.3824915824915825,0.1606250290894788,HSS
all_radars_all_dates,all,max_hsda_buffer,sig_severe_obs,2.0,,3.0,hsda_class,75,304,1421,206,0.2669039145907473,0.8021108179419525,0.1282051282051282,0.07912241822852627,HSS
all_radars_all_dates,all,max_mesh_75_mh19_buffer,severe_obs,2.0,29.0,28.28113309256843,percentile,1098,330,352,231,0.8261851015801355,0.23109243697478993,0.6618444846292948,0.35485271083768943,HSS
all_radars_all_dates,all,max_mesh_75_mh19_buffer,sig_severe_obs,2.0,75.0,39.77064953822039,percentile,127,376,1354,154,0.45195729537366547,0.7475149105367793,0.1933028919330289,0.17628974494913977,HSS
