scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
by_date,2013-03-29,max_reflectivity_buffer,severe_obs,2.0,23.0,51.76171550750732,percentile,22,5,8,1,0.9565217391304348,0.18518518518518517,0.7857142857142857,0.6129032258064516,HSS
by_date,2013-03-29,max_reflectivity_buffer,sig_severe_obs,2.0,95.0,58.417311668396,percentile,2,0,33,1,0.6666666666666666,0.0,0.6666666666666666,0.7857142857142857,HSS
by_date,2013-03-29,max_hdr_size_buffer,severe_obs,2.0,18.0,14.57024440765381,percentile,23,6,7,0,1.0,0.20689655172413793,0.7931034482758621,0.5985130111524164,HSS
by_date,2013-03-29,max_hdr_size_buffer,sig_severe_obs,2.0,89.0,23.547009563446046,percentile,2,2,31,1,0.6666666666666666,0.5,0.4,0.5263157894736842,HSS
by_date,2013-03-29,max_hsda_buffer,severe_obs,2.0,,2.0,hsda_class,0,0,13,23,0.0,,0.0,0.0,HSS
by_date,2013-03-29,max_hsda_buffer,sig_severe_obs,2.0,,3.0,hsda_class,0,0,33,3,0.0,,0.0,0.0,HSS
by_date,2013-03-29,max_mesh_75_mh19_buffer,severe_obs,2.0,26.0,19.208511677661317,percentile,21,5,8,2,0.9130434782608695,0.19230769230769232,0.75,0.5563380281690141,HSS
by_date,2013-03-29,max_mesh_75_mh19_buffer,sig_severe_obs,2.0,95.0,32.03319626661786,percentile,1,1,32,2,0.3333333333333333,0.5,0.25,0.35714285714285715,HSS
by_date,2013-05-19,max_reflectivity_buffer,severe_obs,2.0,73.0,57.81206275939942,percentile,18,0,16,33,0.35294117647058826,0.0,0.35294117647058826,0.20667384284176535,HSS
by_date,2013-05-19,max_reflectivity_buffer,sig_severe_obs,2.0,76.0,57.87979370117188,percentile,5,11,43,8,0.38461538461538464,0.6875,0.20833333333333334,0.16633922724296005,HSS
by_date,2013-05-19,max_hdr_size_buffer,severe_obs,2.0,66.0,24.105154724121093,percentile,22,1,15,29,0.43137254901960786,0.043478260869565216,0.4230769230769231,0.2304747320061256,HSS
by_date,2013-05-19,max_hdr_size_buffer,sig_severe_obs,2.0,93.0,28.067210235595702,percentile,2,3,51,11,0.15384615384615385,0.6,0.125,0.12825278810408922,HSS
by_date,2013-05-19,max_hsda_buffer,severe_obs,2.0,,2.0,hsda_class,21,3,13,28,0.42857142857142855,0.125,0.40384615384615385,0.15796071876305892,HSS
