scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,34.0,54.35300720214844,percentile,717,184,251,213,0.7709677419354839,0.20421753607103219,0.6436265709156194,0.34191303714228466,HSS
all_radars_all_dates,all,max_reflectivity_buffer,sig_severe_obs,2.0,92.0,61.58748626708984,percentile,48,64,1070,183,0.2077922077922078,0.5714285714285714,0.16271186440677965,0.19040895567545763,HSS
all_radars_all_dates,all,max_hdr_size_buffer,severe_obs,2.0,37.0,19.259789848327635,percentile,700,158,275,229,0.7534983853606028,0.18414918414918416,0.6439742410303588,0.37230538387338785,HSS
all_radars_all_dates,all,max_hdr_size_buffer,sig_severe_obs,2.0,76.0,25.541359863281247,percentile,97,230,901,134,0.4199134199134199,0.7033639143730887,0.210412147505423,0.1858267561362539,HSS
all_radars_all_dates,all,max_hsda_buffer,severe_obs,2.0,,2.0,hsda_class,278,58,366,645,0.30119176598049835,0.17261904761904762,0.28338430173292556,0.11962994262827754,HSS
all_radars_all_dates,all,max_hsda_buffer,sig_severe_obs,2.0,,3.0,hsda_class,39,100,1017,191,0.16956521739130434,0.7194244604316546,0.11818181818181818,0.09495662694555337,HSS
all_radars_all_dates,all,max_mesh_75_mh19_buffer,severe_obs,2.0,30.0,26.83386569156004,percentile,748,200,229,177,0.8086486486486486,0.2109704641350211,0.6648888888888889,0.3474423515996328,HSS
all_radars_all_dates,all,max_mesh_75_mh19_buffer,sig_severe_obs,2.0,73.0,35.919190571652614,percentile,107,259,865,123,0.4652173913043478,0.7076502732240437,0.21881390593047034,0.19008994337826327,HSS
