scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,0.0,40.15790939331055,percentile,930,435,0,0,1.0,0.31868131868131866,0.6813186813186813,0.0
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,1.0,42.28586685180664,percentile,924,427,8,6,0.9935483870967742,0.3160621761658031,0.6809137803979366,0.016081104701975178
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,2.0,45.28251358032226,percentile,920,417,18,10,0.989247311827957,0.3118922961854899,0.6829992576095026,0.04078106099879039
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,3.0,45.9665315246582,percentile,915,409,26,15,0.9838709677419355,0.30891238670694865,0.6833457804331591,0.05750158776686697
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,4.0,46.63556991577149,percentile,911,399,36,19,0.9795698924731183,0.3045801526717557,0.6854778028592927,0.08120772946859903
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,5.0,47.778944396972655,percentile,904,392,43,26,0.9720430107526882,0.30246913580246915,0.6838124054462935,0.09134776169318236
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,6.0,48.271692504882814,percentile,897,386,49,33,0.964516129032258,0.3008573655494934,0.6816109422492401,0.09841337400392519
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,7.0,48.62658248901367,percentile,890,379,56,40,0.956989247311828,0.2986603624901497,0.6799083269671505,0.1081561527845999
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,8.0,48.90800247192383,percentile,883,372,63,47,0.9494623655913978,0.2964143426294821,0.6781874039938556,0.11769061668402175
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,9.0,49.33982284545898,percentile,878,364,71,52,0.9440860215053763,0.29307568438003223,0.678516228748068,0.1326184584364403
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,10.0,49.66988830566406,percentile,874,354,81,56,0.9397849462365592,0.28827361563517917,0.6806853582554517,0.15408334466965945
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,11.0,50.09914138793946,percentile,870,344,91,60,0.9354838709677419,0.2833607907742998,0.6828885400313972,0.17510321306767188
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,12.0,50.3431510925293,percentile,866,336,99,64,0.9311827956989247,0.2795341098169717,0.684044233807267,0.1904634818966284
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,13.0,50.66550750732422,percentile,858,329,106,72,0.9225806451612903,0.2771693344566133,0.6814932486100079,0.1972766668866451
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,14.0,50.92155639648438,percentile,852,322,113,78,0.9161290322580645,0.27427597955706984,0.6805111821086262,0.20676429567642957
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,15.0,51.141544342041016,percentile,848,312,123,82,0.9118279569892473,0.2689655172413793,0.6827697262479872,0.22645091693635383
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,16.0,51.389154052734376,percentile,842,304,131,88,0.9053763440860215,0.26527050610820246,0.6823338735818476,0.23797316927283602
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,17.0,51.551883392333984,percentile,838,295,140,92,0.9010752688172043,0.26037069726390116,0.6840816326530612,0.25452467136597445
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,18.0,51.8122477722168,percentile,833,286,149,97,0.8956989247311828,0.2555853440571939,0.6850328947368421,0.2693750917133094
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,19.0,52.029577026367186,percentile,825,280,155,105,0.8870967741935484,0.25339366515837103,0.6818181818181818,0.2726045883940621
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,20.0,52.25061111450196,percentile,817,275,160,113,0.878494623655914,0.2518315018315018,0.6780082987551868,0.27340823970037453
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,21.0,52.45797882080078,percentile,811,267,168,119,0.8720430107526882,0.24768089053803338,0.6775271512113618,0.2839611872146119
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,22.0,52.5538835144043,percentile,804,260,175,126,0.864516129032258,0.24436090225563908,0.6756302521008404,0.2906417868249929
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,23.0,52.72588577270508,percentile,798,253,182,132,0.8580645161290322,0.2407231208372978,0.6745562130177515,0.2985564698580495
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,24.0,52.87705169677734,percentile,792,245,190,138,0.8516129032258064,0.23625843780135006,0.6740425531914893,0.3085956872780654
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,25.0,53.047462463378906,percentile,785,239,196,145,0.8440860215053764,0.2333984375,0.6715141146278871,0.31264015106809867
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,26.0,53.17485466003418,percentile,778,232,203,152,0.8365591397849462,0.2297029702970297,0.6695352839931153,0.31883040935672513
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,27.0,53.34000381469727,percentile,773,223,212,157,0.8311827956989247,0.22389558232931728,0.6704249783174328,0.3319423515320119
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,28.0,53.48912353515625,percentile,765,218,217,165,0.8225806451612904,0.22177009155645983,0.6663763066202091,0.33220287022666745
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,29.0,53.627365264892575,percentile,754,215,220,176,0.810752688172043,0.2218782249742002,0.6585152838427948,0.32423603593337513
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,30.0,53.7643310546875,percentile,748,207,228,182,0.8043010752688172,0.21675392670157068,0.6578715919085312,0.3335404311399793
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,31.0,53.90832458496094,percentile,741,201,234,189,0.7967741935483871,0.21337579617834396,0.6551724137931034,0.33718063648588076
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,32.0,54.09140396118164,percentile,734,195,240,196,0.789247311827957,0.20990312163616792,0.6524444444444445,0.3407629740796324
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,33.0,54.22766876220703,percentile,724,190,245,206,0.7784946236559139,0.20787746170678337,0.6464285714285715,0.33840052875082616
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,34.0,54.35300720214844,percentile,717,184,251,213,0.7709677419354839,0.20421753607103219,0.6436265709156194,0.34191303714228466
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,35.0,54.54336700439453,percentile,707,180,255,223,0.7602150537634409,0.20293122886133033,0.636936936936937,0.33754222438989145
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,36.0,54.68019760131836,percentile,697,176,259,233,0.7494623655913979,0.2016036655211913,0.6301989150090416,0.3332437613084681
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,37.0,54.80622222900391,percentile,687,173,262,243,0.7387096774193549,0.20116279069767443,0.6228467815049864,0.32700444444444443
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,38.0,54.92708267211914,percentile,681,165,270,249,0.7322580645161291,0.1950354609929078,0.6219178082191781,0.3356961489631824
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,39.0,55.03982009887695,percentile,672,161,274,258,0.7225806451612903,0.19327731092436976,0.615948670944088,0.33272081342643633
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,40.0,55.176434707641604,percentile,662,157,278,268,0.7118279569892473,0.1916971916971917,0.609015639374425,0.3285939968404423
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,41.0,55.27393341064453,percentile,653,153,282,277,0.7021505376344086,0.18982630272952852,0.602954755309326,0.3257168458781362
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,42.0,55.3808772277832,percentile,642,150,285,288,0.6903225806451613,0.1893939393939394,0.5944444444444444,0.3185967791568366
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,43.0,55.499619293212895,percentile,631,147,288,299,0.678494623655914,0.18894601542416453,0.585886722376973,0.31158830314132574
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,44.0,55.61686889648438,percentile,623,141,294,307,0.6698924731182796,0.18455497382198952,0.5816993464052288,0.31387794944292974
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,45.0,55.707540130615236,percentile,614,137,298,316,0.6602150537634408,0.18242343541944075,0.5754451733833177,0.31119354353601686
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,46.0,55.8387028503418,percentile,602,135,300,328,0.6473118279569893,0.18317503392130258,0.5652582159624413,0.30138122005007545
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,47.0,55.96738067626953,percentile,593,130,305,337,0.6376344086021506,0.1798063623789765,0.559433962264151,0.3007026377713054
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,48.0,56.03238296508789,percentile,585,127,308,345,0.6290322580645161,0.17837078651685392,0.5534531693472091,0.297412241960284
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,49.0,56.106353759765625,percentile,573,126,309,357,0.6161290322580645,0.18025751072961374,0.5426136363636364,0.28604843818527365
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,50.0,56.20008850097656,percentile,559,124,311,371,0.6010752688172043,0.1815519765739385,0.530360531309298,0.2745325409479635
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,51.0,56.29269790649414,percentile,547,122,313,383,0.5881720430107527,0.18236173393124067,0.5199619771863118,0.2653429891452049
all_radars_all_dates,all,max_reflectivity_buffer,severe_obs,2.0,52.0,56.35278305053711,percentile,537,118,317,393,0.5774193548387097,0.1801526717557252,0.5124045801526718,0.2620645877965564
