scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,34.0,55.64473266601563,percentile,1016,306,370,312,0.7650602409638554,0.2314674735249622,0.6217870257037944,0.3117183366604274
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,35.0,55.78460960388183,percentile,1001,301,375,327,0.7537650602409639,0.23118279569892472,0.614487415592388,0.30561330561330563
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,36.0,55.94515090942384,percentile,984,298,378,344,0.7409638554216867,0.23244929797191888,0.6051660516605166,0.2952042457522756
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,37.0,56.051410293579096,percentile,967,295,381,361,0.7281626506024096,0.23375594294770205,0.5958102279728897,0.28494284433730327
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,38.0,56.19984558105469,percentile,952,290,386,376,0.7168674698795181,0.23349436392914655,0.588380716934487,0.27915537869262574
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,39.0,56.39780075073242,percentile,942,280,396,386,0.7093373493975904,0.22913256955810146,0.585820895522388,0.28419666110326897
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,40.0,56.46560821533203,percentile,925,277,399,403,0.6965361445783133,0.23044925124792012,0.5763239875389408,0.27422550393905437
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,41.0,56.58288146972656,percentile,914,268,408,414,0.6882530120481928,0.22673434856175972,0.5726817042606517,0.2771113396041992
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,42.0,56.734513397216794,percentile,901,261,415,427,0.6784638554216867,0.22461273666092943,0.5670232850849591,0.2757468660830977
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,43.0,56.85320362091065,percentile,886,256,420,442,0.6671686746987951,0.22416812609457093,0.5593434343434344,0.2702188312582693
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,44.0,57.04942794799805,percentile,873,249,427,455,0.6573795180722891,0.22192513368983957,0.553582752060875,0.26891937269143235
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,45.0,57.19390029907227,percentile,858,244,432,470,0.6460843373493976,0.22141560798548093,0.5458015267175572,0.26351137116997664
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,46.0,57.34158332824707,percentile,843,239,437,485,0.634789156626506,0.2208872458410351,0.5379706445437141,0.2581754819392918
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,47.0,57.449283599853516,percentile,829,233,443,499,0.6242469879518072,0.2193973634651601,0.5310698270339526,0.254945939027512
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,48.0,57.601601715087895,percentile,814,228,448,514,0.6129518072289156,0.21880998080614203,0.5231362467866324,0.24973662009921652
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,49.0,57.69421604156494,percentile,799,223,453,529,0.6016566265060241,0.2181996086105675,0.5151515151515151,0.24459540203151128
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,50.0,57.80037307739258,percentile,786,216,460,542,0.5918674698795181,0.2155688622754491,0.5090673575129534,0.2435129740518962
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,51.0,57.93902332305908,percentile,773,209,467,555,0.5820783132530121,0.21283095723014256,0.5029277813923227,0.24244451393534444
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,52.0,58.04593994140625,percentile,759,203,473,569,0.5715361445783133,0.21101871101871103,0.495754408883083,0.2394193368231856
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,53.0,58.15353591918946,percentile,742,200,476,586,0.5587349397590361,0.21231422505307856,0.4856020942408377,0.23055910524402967
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,54.0,58.259613037109375,percentile,733,189,487,595,0.5519578313253012,0.20498915401301518,0.4831905075807515,0.23737481603442048
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,55.0,58.47855567932129,percentile,721,181,495,607,0.5429216867469879,0.2006651884700665,0.4777998674618953,0.23830508082160592
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,56.0,58.628094329833985,percentile,705,177,499,623,0.5308734939759037,0.20068027210884354,0.4684385382059801,0.2315391075270054
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,57.0,58.773141860961914,percentile,689,173,503,639,0.5188253012048193,0.20069605568445475,0.4590273151232512,0.22485718967573767
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,58.0,58.87240905761718,percentile,674,168,508,654,0.5075301204819277,0.1995249406175772,0.4505347593582888,0.22015520316920478
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,59.0,58.98542549133301,percentile,661,161,515,667,0.4977409638554217,0.19586374695863748,0.44392209536601746,0.21928249601951286
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,60.0,59.12131805419922,percentile,647,155,521,681,0.4871987951807229,0.19326683291770574,0.43627781523937964,0.21654614086741164
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,61.0,59.27290267944336,percentile,632,150,526,696,0.4759036144578313,0.1918158567774936,0.42760487144790255,0.21198002461597956
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,62.0,59.390685882568356,percentile,618,144,532,710,0.46536144578313254,0.1889763779527559,0.41983695652173914,0.20932063379422755
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,63.0,59.52661293029785,percentile,604,138,538,724,0.45481927710843373,0.18598382749326145,0.4120054570259209,0.20669309418753742
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,64.0,59.67467788696288,percentile,590,132,544,738,0.4442771084337349,0.18282548476454294,0.4041095890410959,0.2040968369847455
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,65.0,59.78083744049072,percentile,575,127,549,753,0.4329819277108434,0.18091168091168092,0.3951890034364261,0.19971247154666347
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,66.0,59.995485916137696,percentile,557,125,551,771,0.4194277108433735,0.18328445747800587,0.383344803854095,0.18995528383396912
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,67.0,60.08389461517334,percentile,541,120,556,787,0.40737951807228917,0.1815431164901664,0.3736187845303867,0.18504443268739296
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,68.0,60.2153727722168,percentile,529,112,564,799,0.3983433734939759,0.1747269890795632,0.36736111111111114,0.18620831067407215
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,69.0,60.331003532409675,percentile,513,108,568,815,0.38629518072289154,0.17391304347826086,0.35724233983286907,0.18025367617730742
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,70.0,60.435377502441405,percentile,499,102,574,829,0.3757530120481928,0.16971713810316139,0.34895104895104895,0.17789958844835335
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,71.0,60.563835792541504,percentile,484,97,579,844,0.3644578313253012,0.16695352839931152,0.33964912280701753,0.17381642935377875
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,72.0,60.70438751220703,percentile,468,93,583,860,0.35240963855421686,0.1657754010695187,0.32934553131597466,0.1680336652813717
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,73.0,60.88824516296388,percentile,451,90,586,877,0.33960843373493976,0.16635859519408502,0.31805359661495064,0.16058009685607602
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,74.0,61.06166511535645,percentile,438,83,593,890,0.32981927710843373,0.15930902111324377,0.3104181431608788,0.1601157812217331
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,75.0,61.20296287536621,percentile,421,80,596,907,0.3170180722891566,0.1596806387225549,0.2990056818181818,0.15278969957081545
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,76.0,61.33945373535156,percentile,407,74,602,921,0.3064759036144578,0.15384615384615385,0.29029957203994294,0.1506666098734932
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,77.0,61.479057998657225,percentile,391,70,606,937,0.2944277108433735,0.15184381778741865,0.27968526466380544,0.14517142929759314
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,78.0,61.67456741333008,percentile,374,67,609,954,0.2816265060240964,0.15192743764172337,0.26810035842293906,0.13804817632636554
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,79.0,61.89324947357178,percentile,358,63,613,970,0.26957831325301207,0.1496437054631829,0.2573687994248742,0.13268197853210548
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,80.0,62.04347534179687,percentile,343,58,618,985,0.2582831325301205,0.14463840399002495,0.2474747474747475,0.12904419424466426
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,81.0,62.27724452972412,percentile,328,53,623,1000,0.2469879518072289,0.13910761154855644,0.23750905141202028,0.12544572920552033
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,82.0,62.460230102539064,percentile,312,49,627,1016,0.23493975903614459,0.13573407202216067,0.22657952069716775,0.12023380627715442
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,83.0,62.68511150360107,percentile,295,46,630,1033,0.22213855421686746,0.1348973607038123,0.21470160116448325,0.11343430450434198
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,84.0,62.854225158691406,percentile,277,44,632,1051,0.2085843373493976,0.13707165109034267,0.2018950437317784,0.10507255242616292
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,85.0,63.04407596588135,percentile,261,40,636,1067,0.19653614457831325,0.132890365448505,0.19078947368421054,0.10005111437449798
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,86.0,63.19264289855957,percentile,245,36,640,1083,0.1844879518072289,0.12811387900355872,0.17961876832844575,0.09508252290060934
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,87.0,63.380400238037105,percentile,225,36,640,1103,0.1694277108433735,0.13793103448275862,0.16495601173020527,0.08373034032611576
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,88.0,63.6747933959961,percentile,209,32,644,1119,0.15737951807228914,0.13278008298755187,0.1536764705882353,0.07889848173853317
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,89.0,63.89966526031494,percentile,196,25,651,1132,0.14759036144578314,0.11312217194570136,0.14486326681448633,0.07889338238215174
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,90.0,64.13415908813477,percentile,178,23,653,1150,0.13403614457831325,0.11442786069651742,0.13175425610658772,0.07096820089635057
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,91.0,64.34369781494141,percentile,160,21,655,1168,0.12048192771084337,0.11602209944751381,0.11860637509266123,0.06312428734321551
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,92.0,64.67529205322266,percentile,143,18,658,1185,0.10768072289156627,0.11180124223602485,0.1062407132243685,0.05692826462833583
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,93.0,64.99145149230958,percentile,124,17,659,1204,0.09337349397590361,0.12056737588652482,0.09219330855018587,0.047675314667351656
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,94.0,65.22477676391601,percentile,108,13,663,1220,0.08132530120481928,0.10743801652892562,0.08053691275167785,0.043171908519915425
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,95.0,65.7874382019043,percentile,89,12,664,1239,0.06701807228915663,0.1188118811881188,0.0664179104477612,0.034081049216709174
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,96.0,66.18548492431641,percentile,72,9,667,1256,0.05421686746987952,0.1111111111111111,0.05385190725504862,0.028154111558366876
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,97.0,66.72028732299805,percentile,53,8,668,1275,0.039909638554216864,0.13114754098360656,0.03967065868263473,0.01922839247160066
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,98.0,67.10281021118163,percentile,38,3,673,1290,0.0286144578313253,0.07317073170731707,0.028549962434259956,0.016476250483948105
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,99.0,68.25749046325684,percentile,19,2,674,1309,0.01430722891566265,0.09523809523809523,0.014285714285714285,0.007695968454687606
all_radars_all_dates,all,max_reflectivity,severe_obs,0.0,100.0,71.3469009399414,percentile,0,1,675,1328,0.0,1.0,0.0,-0.0009982485548698443
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,0.0,40.0,percentile,281,1723,0,0,1.0,0.8597804391217565,0.14021956087824353,0.0
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,1.0,45.196790657043465,percentile,280,1703,20,1,0.99644128113879,0.8587997982854261,0.14112903225806453,0.002277209498014673
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,2.0,46.70315376281739,percentile,278,1685,38,3,0.9893238434163701,0.8583800305654611,0.14140386571719227,0.0032465370369824708
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,3.0,47.521192169189455,percentile,275,1668,55,6,0.9786476868327402,0.8584662892434379,0.14109799897383274,0.0030413708457531063
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,4.0,48.18644287109375,percentile,271,1652,71,10,0.9644128113879004,0.859074362974519,0.14019658561821002,0.0016312509554598346
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,5.0,48.98612880706788,percentile,271,1632,91,10,0.9644128113879004,0.8575932737782449,0.14166231050705697,0.005044069846549248
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,6.0,49.40857475280762,percentile,270,1613,110,11,0.9608540925266904,0.8566117896972916,0.14255543822597677,0.007294389658401481
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,7.0,49.89037536621094,percentile,267,1596,127,14,0.9501779359430605,0.856682769726248,0.14224826851358552,0.007117864825192256
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,8.0,50.18659545898438,percentile,267,1576,147,14,0.9501779359430605,0.855127509495388,0.14378029079159935,0.010671493729682402
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,9.0,50.67264045715332,percentile,266,1557,166,15,0.9466192170818505,0.8540866703236424,0.14472252448313383,0.013033657174902643
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,10.0,51.081051635742185,percentile,266,1537,186,15,0.9466192170818505,0.8524681087077094,0.14631463146314633,0.016706027410252764
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,11.0,51.481670722961425,percentile,266,1517,206,15,0.9466192170818505,0.8508132361189007,0.14794215795328142,0.02044598160301958
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,12.0,51.93090576171875,percentile,265,1498,225,16,0.9430604982206405,0.8496880317640386,0.1489600899381675,0.022964735281142023
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,13.0,52.180939178466794,percentile,265,1478,245,16,0.9430604982206405,0.8479632816982214,0.15065378055713474,0.02683347797681154
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,14.0,52.41396919250489,percentile,262,1461,262,19,0.9323843416370107,0.8479396401625072,0.15040183696900114,0.026830156610416413
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,15.0,52.660750198364255,percentile,261,1442,281,20,0.9288256227758007,0.8467410452143277,0.1514799767846779,0.029482087549894828
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,16.0,52.79075454711914,percentile,259,1424,299,22,0.9217081850533808,0.8461081402257873,0.15190615835777127,0.03084471289393681
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,17.0,52.98834091186524,percentile,257,1406,317,24,0.9145907473309609,0.8454600120264583,0.15234143449911083,0.032233880526953876
all_radars_all_dates,all,max_reflectivity,sig_severe_obs,0.0,18.0,53.18311210632324,percentile,253,1390,333,28,0.900355871886121,0.8460133901399878,0.15140634350688212,0.030916711284200617
