scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,0.0,40.52341842651367,percentile,496,214,0,0,1.0,0.30140845070422534,0.6985915492957746,0.0
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,1.0,45.49947929382325,percentile,492,210,4,4,0.9919354838709677,0.29914529914529914,0.6968838526912181,0.014630729720615321
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,2.0,46.1907287979126,percentile,490,205,9,6,0.9879032258064516,0.2949640287769784,0.6990014265335235,0.04072485112377537
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,3.0,47.12103645324707,percentile,487,201,13,9,0.9818548387096774,0.2921511627906977,0.6987087517934003,0.057188385269121816
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,4.0,48.0811164855957,percentile,483,198,16,13,0.9737903225806451,0.2907488986784141,0.6959654178674352,0.06437752157783634
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,5.0,48.36347351074219,percentile,478,196,18,18,0.9637096774193549,0.29080118694362017,0.6907514450867052,0.06263109838856945
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,6.0,48.700335083007815,percentile,474,193,21,22,0.9556451612903226,0.2893553223388306,0.6879535558780842,0.06958175368449282
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,7.0,48.99529663085938,percentile,471,189,25,25,0.9495967741935484,0.2863636363636364,0.6875912408759124,0.08491929655504697
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,8.0,49.45419738769531,percentile,470,183,31,26,0.9475806451612904,0.28024502297090353,0.6921944035346097,0.11679979049364934
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,9.0,49.9119913482666,percentile,468,178,36,28,0.9435483870967742,0.2755417956656347,0.6943620178041543,0.13958632374049934
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,10.0,50.289092254638675,percentile,466,173,41,30,0.9395161290322581,0.27073552425665104,0.6965620328849028,0.16184971098265896
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,11.0,50.47887546539307,percentile,461,171,43,35,0.9294354838709677,0.27056962025316456,0.6911544227886057,0.15911599668843712
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,12.0,50.756056518554686,percentile,456,168,46,40,0.9193548387096774,0.2692307692307692,0.6867469879518072,0.1618234653105703
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,13.0,50.97685848236084,percentile,455,162,52,41,0.9173387096774194,0.2625607779578606,0.6914893617021277,0.1910353266055252
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,14.0,51.30718315124512,percentile,452,158,56,44,0.9112903225806451,0.25901639344262295,0.691131498470948,0.2038414566448318
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,15.0,51.5237398147583,percentile,449,154,60,47,0.905241935483871,0.25538971807628524,0.6907692307692308,0.2163699660652119
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,16.0,51.748698730468746,percentile,446,150,64,50,0.8991935483870968,0.2516778523489933,0.6904024767801857,0.22862978575463908
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,17.0,51.919916915893566,percentile,444,145,69,52,0.8951612903225806,0.2461799660441426,0.6926677067082684,0.24826133224409067
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,18.0,52.18101501464844,percentile,439,144,70,57,0.8850806451612904,0.2469982847341338,0.6859375,0.2399096690350139
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,19.0,52.35722732543945,percentile,435,142,72,61,0.8770161290322581,0.24610051993067592,0.6818181818181818,0.23920272795413997
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,20.0,52.48208923339844,percentile,431,137,77,65,0.8689516129032258,0.24119718309859156,0.6808846761453397,0.2529585798816568
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,21.0,52.657023506164556,percentile,428,133,81,68,0.8629032258064516,0.23707664884135474,0.6804451510333863,0.26422215118737047
by_radar,KTLX,max_reflectivity_buffer,severe_obs,2.0,22.0,52.805250701904306,percentile,425,129,85,71,0.8568548387096774,0.2328519855595668,0.68,0.2752587632443909
