scope,scope_value,field,obs_col,spatial_buffer_km,percentile,threshold,threshold_source,tp,fp,tn,fn,POD,FAR,CSI,HSS,objective_metric
by_date,2013-03-29,max_reflectivity_buffer,severe_obs,2.0,34.0,54.464237976074216,percentile,34,6,16,5,0.8717948717948718,0.15,0.7555555555555555,0.6050618010594467,HSS
by_date,2013-03-29,max_reflectivity_buffer,sig_severe_obs,2.0,99.0,65.49955444335937,percentile,1,0,57,3,0.25,0.0,0.25,0.3838383838383838,HSS
by_date,2013-03-29,max_hdr_size_buffer,severe_obs,2.0,36.0,19.38455352783203,percentile,33,6,16,6,0.8461538461538461,0.15384615384615385,0.7333333333333333,0.5734265734265734,HSS
by_date,2013-03-29,max_hdr_size_buffer,sig_severe_obs,2.0,89.0,35.33454132080078,percentile,2,5,52,2,0.5,0.7142857142857143,0.2222222222222222,0.3056910569105691,HSS
by_date,2013-03-29,max_hsda_buffer,severe_obs,2.0,,2.0,hsda_class,18,1,21,21,0.46153846153846156,0.05263157894736842,0.45,0.3472762645914397,HSS
by_date,2013-03-29,max_hsda_buffer,sig_severe_obs,2.0,,3.0,hsda_class,2,7,50,2,0.5,0.7777777777777778,0.18181818181818182,0.23855755894590847,HSS
by_date,2013-03-29,max_mesh_75_mh19_buffer,severe_obs,2.0,41.0,26.631690861249787,percentile,31,5,17,8,0.7948717948717948,0.1388888888888889,0.7045454545454546,0.5512167515563101,HSS
by_date,2013-03-29,max_mesh_75_mh19_buffer,sig_severe_obs,2.0,91.0,42.58043416597676,percentile,2,4,53,2,0.5,0.6666666666666666,0.25,0.3487544483985765,HSS
by_date,2013-05-19,max_reflectivity_buffer,severe_obs,2.0,28.0,55.1463052368164,percentile,56,22,15,16,0.7777777777777778,0.28205128205128205,0.5957446808510638,0.19069949198905822,HSS
by_date,2013-05-19,max_reflectivity_buffer,sig_severe_obs,2.0,24.0,55.00975173950195,percentile,15,68,25,1,0.9375,0.8192771084337349,0.17857142857142858,0.07547633681622619,HSS
by_date,2013-05-19,max_hdr_size_buffer,severe_obs,2.0,15.0,18.402343368530275,percentile,65,27,10,7,0.9027777777777778,0.29347826086956524,0.6565656565656566,0.19922212618841834,HSS
by_date,2013-05-19,max_hdr_size_buffer,sig_severe_obs,2.0,63.0,25.013500595092776,percentile,8,32,61,8,0.5,0.8,0.16666666666666666,0.09618573797678276,HSS
by_date,2013-05-19,max_hsda_buffer,severe_obs,2.0,,2.0,hsda_class,36,12,25,34,0.5142857142857142,0.25,0.43902439024390244,0.1666102268879106,HSS
by_date,2013-05-19,max_hsda_buffer,sig_severe_obs,2.0,,3.0,hsda_class,4,28,63,12,0.25,0.875,0.09090909090909091,-0.04085603112840467,HSS
by_date,2013-05-19,max_mesh_75_mh19_buffer,severe_obs,2.0,28.0,28.37196806796748,percentile,58,19,18,12,0.8285714285714286,0.24675324675324675,0.651685393258427,0.3297635886037583,HSS
by_date,2013-05-19,max_mesh_75_mh19_buffer,sig_severe_obs,2.0,44.0,30.80647378242119,percentile,13,47,44,3,0.8125,0.7833333333333333,0.20634920634920634,0.1387636831938184,HSS
by_date,2013-05-30,max_reflectivity_buffer,severe_obs,2.0,56.0,60.56920440673828,percentile,69,27,85,36,0.6571428571428571,0.28125,0.5227272727272727,0.41718889883616833,HSS
by_date,2013-05-30,max_reflectivity_buffer,sig_severe_obs,2.0,99.0,66.19255828857422,percentile,2,1,214,0,1.0,0.3333333333333333,0.6666666666666666,0.7977632805219013,HSS
by_date,2013-05-30,max_hdr_size_buffer,severe_obs,2.0,66.0,29.859318733215332,percentile,58,16,96,46,0.5576923076923077,0.21621621621621623,0.48333333333333334,0.41915336571825124,HSS
by_date,2013-05-30,max_hdr_size_buffer,sig_severe_obs,2.0,100.0,39.51461791992188,percentile,1,0,214,1,0.5,0.0,0.5,0.6645962732919255,HSS
by_date,2013-05-30,max_hsda_buffer,severe_obs,2.0,,2.0,hsda_class,86,74,38,19,0.819047619047619,0.4625,0.48044692737430167,0.15578330893118594,HSS
by_date,2013-05-30,max_hsda_buffer,sig_severe_obs,2.0,,3.0,hsda_class,2,96,119,0,1.0,0.9795918367346939,0.02040816326530612,0.022339027595269383,HSS
by_date,2013-05-30,max_mesh_75_mh19_buffer,severe_obs,2.0,66.0,41.45393782200419,percentile,57,17,95,48,0.5428571428571428,0.22972972972972974,0.4672131147540984,0.39471312706518474,HSS
by_date,2013-05-30,max_mesh_75_mh19_buffer,sig_severe_obs,2.0,99.0,52.28469342239308,percentile,2,1,214,0,1.0,0.3333333333333333,0.6666666666666666,0.7977632805219013,HSS
